fold,accuracy,precision,recall,f1,roc_auc,mcc,macro_f1
1,0.6875,0.6666666666666666,0.75,0.7058823529411765,0.7465625,0.3779644730092272,0.6862745098039216
2,0.7125,0.7575757575757576,0.625,0.684931506849315,0.82375,0.4316612087011717,0.7102818453786806
3,0.7,0.7222222222222222,0.65,0.6842105263157895,0.7603125,0.40201512610368484,0.6992481203007519
4,0.7125,0.7073170731707317,0.725,0.7160493827160493,0.7709375,0.42513287478830203,0.7124550711048601
5,0.7125,0.717948717948718,0.7,0.7088607594936709,0.7925,0.42513287478830203,0.7124550711048601
