fold,accuracy,precision,recall,f1,roc_auc,mcc,macro_f1
1,0.6625,0.76,0.475,0.5846153846153846,0.7262500000000001,0.3505839284808859,0.6502024291497976
2,0.625,0.6470588235294118,0.55,0.5945945945945946,0.7434375000000001,0.25286086871208685,0.6228786926461345
3,0.6,0.5952380952380952,0.625,0.6097560975609756,0.6793750000000001,0.20025046972870356,0.5997498436522827
4,0.7,0.66,0.825,0.7333333333333333,0.793125,0.4131182235954578,0.6952380952380952
5,0.6125,0.6451612903225806,0.5,0.5633802816901409,0.6978125,0.23092110260585344,0.6075328374742839
