fold,accuracy,precision,recall,f1,roc_auc,mcc,macro_f1
1,0.8,0.7608695652173914,0.875,0.813953488372093,0.8425,0.6068660849090084,0.7988686360779385
2,0.775,0.84375,0.675,0.75,0.84,0.5613413993878117,0.7727272727272727
3,0.825,0.8611111111111112,0.775,0.8157894736842105,0.90125,0.6532745799184878,0.8245614035087719
4,0.7625,0.723404255319149,0.85,0.7816091954022989,0.83125,0.5332285519249769,0.7606676113997796
5,0.725,0.7368421052631579,0.7,0.717948717948718,0.825625,0.450563556889583,0.7248280175109443
