fold,accuracy,precision,recall,f1,roc_auc,mcc,macro_f1
1,0.65,0.6111111111111112,0.825,0.7021276595744681,0.71,0.32025630761017426,0.638942617666022
2,0.6625,0.6756756756756757,0.625,0.6493506493506493,0.7193750000000001,0.3259179368665351,0.6620247222656861
3,0.5875,0.5714285714285714,0.7,0.6292134831460674,0.6924999999999999,0.17960530202677488,0.5822123753758506
4,0.6375,0.6037735849056604,0.8,0.6881720430107527,0.710625,0.2907855814299862,0.6276681110576152
5,0.5625,0.5581395348837209,0.6,0.5783132530120482,0.618125,0.12535305264097504,0.5618838992332968
