fold,accuracy,precision,recall,f1,roc_auc,mcc,macro_f1
1,0.5625,0.5531914893617021,0.65,0.5977011494252874,0.6184375000000001,0.1269591790297564,0.5591245473153834
2,0.5625,0.5675675675675675,0.525,0.5454545454545454,0.6231249999999999,0.12535305264097504,0.5618838992332968
3,0.5375,0.5306122448979592,0.65,0.5842696629213483,0.6240625,0.07697370086861781,0.531571451178984
4,0.5375,0.5428571428571428,0.475,0.5066666666666667,0.6021875000000001,0.07559289460184544,0.5356862745098039
5,0.55,0.5588235294117647,0.475,0.5135135135135135,0.5896875,0.10114434748483472,0.5474544311753614
