fold,accuracy,precision,recall,f1,mcc,macro_f1,roc_auc
1,0.34,0.3368131868131868,0.34,0.3355442658962185,0.1758094884214506,0.3355442658962185,0.66625
2,0.315,0.3082089453922667,0.315,0.31042939630961414,0.1440428848738242,0.31042939630961414,0.65859375
3,0.36,0.3589721633324763,0.36,0.3571547626555417,0.20062794503020767,0.3571547626555417,0.66359375
4,0.34,0.33152950645840934,0.33999999999999997,0.3203220899553692,0.17962895453257663,0.3203220899553692,0.67415625
5,0.325,0.3219459130454497,0.325,0.3189506289470388,0.15747519897923618,0.3189506289470388,0.6538125
