fold,accuracy,precision,recall,f1,roc_auc,mcc,macro_f1
1,0.825,0.8095238095238095,0.85,0.8292682926829268,0.876875,0.6508140266182866,0.8248905565978737
2,0.7375,0.7567567567567568,0.7,0.7272727272727273,0.8078124999999999,0.47634160003570514,0.7371303395399781
3,0.7875,0.8484848484848485,0.7,0.7671232876712328,0.8396875,0.5840122235368794,0.7858604944103291
4,0.75,0.717391304347826,0.825,0.7674418604651163,0.7896875000000001,0.5057217374241737,0.7485857950974231
5,0.7375,0.7435897435897436,0.725,0.7341772151898734,0.840625,0.4751485071163376,0.7374589779653071
