fold,accuracy,precision,recall,f1,roc_auc,mcc,macro_f1
1,0.6,0.6176470588235294,0.525,0.5675675675675675,0.6343750000000001,0.20228869496966945,0.5977372721558768
2,0.6,0.6176470588235294,0.525,0.5675675675675675,0.6499999999999999,0.20228869496966945,0.5977372721558768
3,0.6125,0.6285714285714286,0.55,0.5866666666666667,0.615625,0.22677868380553634,0.6109803921568627
4,0.5875,0.6,0.525,0.56,0.6112500000000001,0.17638342073763938,0.5858823529411765
5,0.6125,0.6097560975609756,0.625,0.6172839506172839,0.645,0.22507034547615992,0.6124394436630723
