fold,accuracy,precision,recall,f1,mcc,macro_f1,roc_auc
1,0.235,0.23354269795102853,0.23500000000000001,0.23048956484103772,0.04405112753989884,0.23048956484103772,0.549984375
2,0.225,0.22291321413272636,0.225,0.22194656039327176,0.03138762255948909,0.22194656039327176,0.531265625
3,0.235,0.23736771149309063,0.23500000000000001,0.23462309540766357,0.04387770542377757,0.23462309540766357,0.5425312499999999
4,0.23,0.2320047275776147,0.22999999999999998,0.2308437460242147,0.037511724246026654,0.2308437460242147,0.53396875
5,0.25,0.2522382192970428,0.25,0.2493251629560757,0.06274953336483019,0.2493251629560757,0.546734375
