accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,mcc_mean,mcc_std,macro_f1_mean,macro_f1_std,task,target_model,feature_set,estimator,n_features,n_rows
0.6875,0.06566962768281848,0.6890548942055398,0.07649563962283555,0.6950000000000001,0.09,0.6888888255554922,0.06949029792831679,0.786125,0.04614074934372006,0.3785553006494504,0.13056192219922394,0.6857123982880252,0.06650975550895857,binary,gemma-2-9b-it,lexical,logreg,5,400
0.6925,0.04227883631321942,0.6758981928144575,0.041483409456765985,0.7449999999999999,0.06403124237432849,0.707251760759911,0.04214434958588034,0.7600624999999999,0.04833573988261687,0.3890249318327167,0.08367392162950797,0.6907056495995919,0.04315288604086337,binary,gemma-2-9b-it,lexical,random_forest,5,400
0.8175000000000001,0.028062430400804573,0.8185014985014986,0.062980794473193,0.8299999999999998,0.07314369419163895,0.8195440941373798,0.02710401692218156,0.9095000000000001,0.008833529872027348,0.6434962934764957,0.053952894652481445,0.8161994445383991,0.028742292229062053,binary,gemma-2-9b-it,syntactic,logreg,68,400
0.8225000000000001,0.033911649915626334,0.8324409601238869,0.04486782907400442,0.8099999999999999,0.04358898943540673,0.820192633797683,0.035240890787061566,0.9165624999999998,0.016988047268594483,0.6465023210903132,0.06815176771805853,0.822294466850156,0.03398754060659417,binary,gemma-2-9b-it,syntactic,random_forest,68,400
0.8100000000000002,0.04430011286667338,0.812671931400829,0.06813420101464161,0.8200000000000001,0.07810249675906657,0.811804015880044,0.04250005208458804,0.91875,0.009642030387838485,0.6279488714299681,0.08296470419563975,0.8084213958021366,0.04578084797323048,binary,gemma-2-9b-it,combined,logreg,73,400
0.8400000000000001,0.01837117307087385,0.8486630723472828,0.03245223798767529,0.8299999999999998,0.029154759474226483,0.8384505789569081,0.017446262632685727,0.9249374999999999,0.008164327896403966,0.6814290777418315,0.03638884619283132,0.8398239108454891,0.018438267907759216,binary,gemma-2-9b-it,combined,random_forest,73,400
0.7025,0.016583123951776982,0.6972875816993465,0.025841305670000567,0.725,0.09219544457292887,0.7064769298979825,0.03543484001979403,0.788875,0.027645637087974673,0.4112623910265924,0.03412051835328284,0.7002678115713612,0.01675189686326457,binary,gemma-2-9b-it,writeprints,logreg,14,400
0.7174999999999999,0.04911720676097127,0.7318641675903471,0.0743883454857725,0.7150000000000001,0.12000000000000001,0.7126800281970337,0.061396292332740424,0.8364375,0.03377637858030371,0.4456095336610552,0.09740716652992487,0.7139506075273971,0.050348968944333106,binary,gemma-2-9b-it,writeprints,random_forest,14,400
0.79,0.04062019202317982,0.7557168744876386,0.042309792803930255,0.86,0.048989794855663564,0.803744673718953,0.03791179968223398,0.843875,0.019591133198465102,0.5872404355303186,0.08136753372090166,0.7886740081311254,0.04091971110838083,binary,gemma-2-9b-it,stylometrix,logreg,3,400
0.7049999999999998,0.010000000000000014,0.7143460875168193,0.02921147388480984,0.6900000000000001,0.04636809247747851,0.6999869056632002,0.013015866688344693,0.7788125,0.027022415463832977,0.41238131147813756,0.019944401420196146,0.7041429235386149,0.010189300896686456,binary,gemma-2-9b-it,stylometrix,random_forest,3,400
0.63,0.032210246816812824,0.6429835134489656,0.044347285152697924,0.595,0.05787918451395114,0.6157330175402465,0.036190031455281324,0.658625,0.02347006071572887,0.2625097065878273,0.0657823936283464,0.6283765868365458,0.03205549400452611,binary,gemma-2-9b-it,stanza,logreg,4,400
0.6125,0.03622844186547361,0.6106134904766917,0.03317496480295805,0.6199999999999999,0.06964194138592057,0.6138513127791521,0.04641107341183,0.645125,0.03551166181692992,0.22603605527485615,0.07244440887877877,0.6115800705943778,0.036342922984175886,binary,gemma-2-9b-it,stanza,random_forest,4,400
0.65,0.03354101966249683,0.6525293360587479,0.03999529860666696,0.655,0.08426149773176358,0.6497671951789599,0.041635554391732825,0.708375,0.027798381247835267,0.30365165851274944,0.06560930039074095,0.6474735183263738,0.03523031429486626,binary,llama-3.1-8b-instruct,lexical,logreg,5,400
0.6625,0.051841103383319286,0.6546040446040446,0.0512037533096011,0.7,0.08803408430829507,0.6733071747262287,0.05340262666549583,0.733625,0.04930319145349517,0.329196719066079,0.10119907736610556,0.6594318950758968,0.05467157604492925,binary,llama-3.1-8b-instruct,lexical,random_forest,5,400
