fold,accuracy,precision,recall,f1,mcc,macro_f1,roc_auc
1,0.445,0.4365962832533851,0.445,0.4270600981874356,0.31115031115046676,0.4270600981874356,0.7746875
2,0.475,0.47263356251591543,0.475,0.46984322304870246,0.3452311985760799,0.46984322304870246,0.78171875
3,0.465,0.4779350394489167,0.46499999999999997,0.4636529711841533,0.3341339087827067,0.4636529711841533,0.787125
4,0.46,0.4793192219679634,0.45999999999999996,0.461548916200079,0.32692636783739454,0.461548916200079,0.7610625000000001
5,0.45,0.45007126964260885,0.45,0.4461852650600382,0.31390591545249646,0.4461852650600382,0.7746562499999999
