fold,accuracy,precision,recall,f1,roc_auc,mcc,macro_f1
1,0.825,0.8611111111111112,0.775,0.8157894736842105,0.8884375,0.6532745799184878,0.8245614035087719
2,0.7875,0.7674418604651163,0.825,0.7951807228915663,0.8574999999999999,0.5766240421484852,0.7872007510561727
3,0.8,0.8333333333333334,0.75,0.7894736842105263,0.88625,0.6030226891555273,0.7994987468671679
4,0.8125,0.8048780487804879,0.825,0.8148148148148148,0.908125,0.6251954041004442,0.8124706985466479
5,0.8,0.8333333333333334,0.75,0.7894736842105263,0.9284374999999999,0.6030226891555273,0.7994987468671679
