fold,accuracy,precision,recall,f1,roc_auc,mcc,macro_f1
1,0.6125,0.6216216216216216,0.575,0.5974025974025974,0.639375,0.22563549475375508,0.6119543107494915
2,0.6625,0.6756756756756757,0.625,0.6493506493506493,0.7237499999999999,0.3259179368665351,0.6620247222656861
3,0.7,0.6904761904761905,0.725,0.7073170731707317,0.775625,0.4005009394574071,0.699812382739212
4,0.65,0.6153846153846154,0.8,0.6956521739130435,0.6975,0.3144854510165755,0.6419437340153453
5,0.6625,0.6585365853658537,0.675,0.6666666666666666,0.7096874999999999,0.325101610132231,0.6624472573839661
