fold,accuracy,precision,recall,f1,roc_auc,mcc,macro_f1
1,0.625,0.6470588235294118,0.55,0.5945945945945946,0.76875,0.25286086871208685,0.6228786926461345
2,0.8125,0.8378378378378378,0.775,0.8051948051948052,0.8768750000000001,0.6267652632048752,0.8122359568142701
3,0.6875,0.6829268292682927,0.7,0.691358024691358,0.774375,0.3751172424602665,0.6874511642444132
4,0.6625,0.6274509803921569,0.8,0.7032967032967034,0.76125,0.33803312887002346,0.6559961777353083
5,0.65,0.65,0.65,0.65,0.7493749999999999,0.3,0.65
