fold,accuracy,precision,recall,f1,roc_auc,mcc,macro_f1
1,0.6,0.6052631578947368,0.575,0.5897435897435898,0.6434375,0.20025046972870356,0.5997498436522827
2,0.575,0.5833333333333334,0.525,0.5526315789473685,0.6165625,0.15075567228888181,0.5739348370927319
3,0.6875,0.6744186046511628,0.725,0.6987951807228916,0.71,0.3760591579229251,0.6870599280237835
4,0.55,0.5555555555555556,0.5,0.5263157894736842,0.57375,0.10050378152592121,0.5488721804511278
5,0.625,0.5961538461538461,0.775,0.6739130434782609,0.6290625,0.26207120918047955,0.6163682864450128
