fold,accuracy,precision,recall,f1,roc_auc,mcc,macro_f1
1,0.8,0.7727272727272727,0.85,0.8095238095238095,0.905,0.6030226891555273,0.7994987468671679
2,0.8375,0.8461538461538461,0.825,0.8354430379746836,0.9131250000000001,0.6752110364284797,0.8374746054070948
3,0.7875,0.8285714285714286,0.725,0.7733333333333333,0.904375,0.579545525280815,0.7866666666666666
4,0.8,0.7307692307692307,0.95,0.8260869565217391,0.9,0.628970902033151,0.7953964194373402
5,0.8625,0.9142857142857143,0.8,0.8533333333333334,0.9249999999999999,0.730731314484506,0.8619607843137256
