fold,accuracy,precision,recall,f1,roc_auc,mcc,macro_f1
1,0.65,0.625,0.75,0.6818181818181818,0.675625,0.3061862178478973,0.6464646464646464
2,0.625,0.6785714285714286,0.475,0.5588235294117647,0.7109375,0.26207120918047955,0.6163682864450128
3,0.6625,0.6444444444444445,0.725,0.6823529411764706,0.70625,0.32756920994133026,0.6611764705882353
4,0.5625,0.5409836065573771,0.825,0.6534653465346535,0.6925,0.14686837386151166,0.5301225037758013
5,0.575,0.5714285714285714,0.6,0.5853658536585366,0.640625,0.15018785229652767,0.5747342088805503
