fold,accuracy,precision,recall,f1,roc_auc,mcc,macro_f1
1,0.5375,0.5428571428571428,0.475,0.5066666666666667,0.5175000000000001,0.07559289460184544,0.5356862745098039
2,0.5125,0.5142857142857142,0.45,0.48,0.5715625,0.02519763153394848,0.5105882352941176
3,0.5375,0.5405405405405406,0.5,0.5194805194805194,0.5575,0.07521183158458503,0.5368486934751995
4,0.475,0.475,0.475,0.475,0.4484375000000001,-0.05,0.475
5,0.4375,0.4489795918367347,0.55,0.4943820224719101,0.49187500000000006,-0.12828950144769635,0.43028960278525086
