fold,accuracy,precision,recall,f1,mcc,macro_f1,roc_auc
1,0.355,0.34588297235356064,0.355,0.31816457178299284,0.20542508617413163,0.31816457178299284,0.6644375
2,0.37,0.34534289982264577,0.37,0.3335775625584259,0.2199461236035977,0.3335775625584259,0.6908437500000001
3,0.325,0.32442050818170226,0.32499999999999996,0.31520532415344227,0.1588013932710977,0.31520532415344227,0.6606875
4,0.31,0.3021618025894835,0.31,0.27892701621449184,0.14647150135510956,0.27892701621449184,0.6539375
5,0.325,0.32033200648680527,0.32500000000000007,0.30715688372450045,0.15960192573525656,0.30715688372450045,0.6654687499999999
