fold,accuracy,precision,recall,f1,mcc,macro_f1,roc_auc
1,0.5,0.49076243403539904,0.5,0.4841725740465644,0.3790127196276303,0.4841725740465644,0.7940625
2,0.505,0.5021901088689953,0.5050000000000001,0.49944032465279264,0.3828807157078008,0.49944032465279264,0.8034218750000001
3,0.535,0.54969417306784,0.535,0.52660680425399,0.4235284153981911,0.52660680425399,0.8127500000000001
4,0.495,0.5030820111565453,0.495,0.488282504012841,0.37222085722613885,0.488282504012841,0.8127500000000001
5,0.525,0.5225396825396826,0.525,0.5216890922486331,0.4070521743875747,0.5216890922486331,0.797046875
