fold,accuracy,precision,recall,f1,roc_auc,mcc,macro_f1
1,0.525,0.5263157894736842,0.5,0.5128205128205128,0.539375,0.05006261743217589,0.5247029393370857
2,0.6625,0.6585365853658537,0.675,0.6666666666666666,0.6918749999999999,0.325101610132231,0.6624472573839661
3,0.5875,0.5777777777777777,0.65,0.611764705882353,0.6534375,0.17638342073763938,0.5858823529411765
4,0.5375,0.5333333333333333,0.6,0.5647058823529412,0.5834375,0.07559289460184544,0.5356862745098039
5,0.6125,0.6216216216216216,0.575,0.5974025974025974,0.65625,0.22563549475375508,0.6119543107494915
