fold,accuracy,precision,recall,f1,roc_auc,mcc,macro_f1
1,0.85,0.8333333333333334,0.875,0.8536585365853658,0.923125,0.7008766440504625,0.849906191369606
2,0.85,0.868421052631579,0.825,0.8461538461538461,0.9275,0.7008766440504625,0.849906191369606
3,0.75,0.7777777777777778,0.7,0.7368421052631579,0.8999999999999999,0.502518907629606,0.7493734335839599
4,0.7625,0.6981132075471698,0.925,0.7956989247311828,0.9225000000000001,0.5551361100027009,0.756058417589472
5,0.8375,0.8857142857142857,0.775,0.8266666666666667,0.920625,0.680336051416609,0.8368627450980393
