model_name,rouge1_f1_mean,rouge1_f1_std,rouge2_f1_mean,rouge2_f1_std,rougeL_f1_mean,rougeL_f1_std,meteor_mean,meteor_std,reference_tokens_mean,reference_tokens_std,candidate_tokens_mean,candidate_tokens_std
gemma-2-9b-it,0.6281096319287637,0.07404581353638162,0.3529038824059616,0.09895713137302563,0.4914051488620235,0.1050478347513068,0.5355548572894439,0.10830837438818154,222.115,58.805545964482846,193.49,35.75671423754324
llama-3.1-8b-instruct,0.6957663124636316,0.07512768225133876,0.45885009220640977,0.11433124164665635,0.5687988617920202,0.10768181162411324,0.6306252457333423,0.10134125021267469,222.115,58.805545964482846,205.94,31.378807302679533
mistral-7b-instruct-v0.3,0.7346411608574833,0.05613504430395926,0.5173521029112579,0.09169533388212824,0.6527283126649182,0.08207567338696338,0.6879158240021493,0.0861647078514916,222.115,58.805545964482846,217.735,39.62785141841785
qwen-2.5-7b-instruct,0.6305356767181609,0.08315583886300824,0.3687893206146063,0.11870010244726631,0.5221640761739477,0.11470536329937178,0.5481922941402086,0.11512085076316361,222.115,58.805545964482846,195.075,45.54868591896723
