fold,accuracy,precision,recall,f1,roc_auc,mcc,macro_f1
1,0.825,0.8421052631578947,0.8,0.8205128205128205,0.9121874999999999,0.6508140266182866,0.8248905565978737
2,0.8375,0.8648648648648649,0.8,0.8311688311688312,0.9296875,0.6769064842612652,0.8372711625723674
3,0.8375,0.8461538461538461,0.825,0.8354430379746836,0.9328124999999999,0.6752110364284797,0.8374746054070948
4,0.825,0.7954545454545454,0.875,0.8333333333333334,0.9184375,0.6532745799184878,0.8245614035087719
5,0.875,0.8947368421052632,0.85,0.8717948717948718,0.9315625,0.7509392614826383,0.8749218261413383
