fold,accuracy,precision,recall,f1,roc_auc,mcc,macro_f1
1,0.725,0.75,0.675,0.7105263157894737,0.8265625,0.45226701686664544,0.7243107769423559
2,0.775,0.7619047619047619,0.8,0.7804878048780488,0.8540625000000001,0.5506887917539348,0.7748592870544091
3,0.7875,0.896551724137931,0.65,0.7536231884057971,0.9106249999999999,0.5980586126161953,0.7834050007963052
4,0.7375,0.7111111111111111,0.8,0.7529411764705882,0.8471874999999999,0.4787549991450211,0.7364705882352941
5,0.725,0.75,0.675,0.7105263157894737,0.8112499999999999,0.45226701686664544,0.7243107769423559
