fold,accuracy,precision,recall,f1,roc_auc,mcc,macro_f1
1,0.7625,0.7142857142857143,0.875,0.7865168539325843,0.821875,0.5388159060803247,0.7594556100648837
2,0.8375,0.813953488372093,0.875,0.8433734939759037,0.8800000000000001,0.6769064842612652,0.8372711625723674
3,0.725,0.7045454545454546,0.775,0.7380952380952381,0.845,0.45226701686664544,0.7243107769423559
4,0.8125,0.7551020408163265,0.925,0.8314606741573034,0.83875,0.6414475072384818,0.8100965342617503
5,0.8125,0.7906976744186046,0.85,0.8192771084337349,0.83375,0.6267652632048752,0.8122359568142701
