fold,accuracy,precision,recall,f1,roc_auc,mcc,macro_f1
1,0.5125,0.5116279069767442,0.55,0.5301204819277109,0.5265625,0.02507061052819501,0.5118134877171022
2,0.525,0.5333333333333333,0.4,0.45714285714285713,0.516875,0.051639777949432225,0.5174603174603174
3,0.55,0.5476190476190477,0.575,0.5609756097560976,0.611875,0.10012523486435178,0.549718574108818
4,0.5,0.5,0.425,0.4594594594594595,0.45125000000000004,0.0,0.497171590194846
5,0.55,0.5370370370370371,0.725,0.6170212765957447,0.57625,0.10675210253672476,0.5357833655705996
