fold,accuracy,precision,recall,f1,roc_auc,mcc,macro_f1
1,0.6,0.6111111111111112,0.55,0.5789473684210527,0.6625000000000001,0.20100756305184242,0.5989974937343359
2,0.6,0.6176470588235294,0.525,0.5675675675675675,0.651875,0.20228869496966945,0.5977372721558768
3,0.6,0.5909090909090909,0.65,0.6190476190476191,0.614375,0.20100756305184242,0.5989974937343359
4,0.5875,0.6,0.525,0.56,0.62125,0.17638342073763938,0.5858823529411765
5,0.625,0.6,0.75,0.6666666666666666,0.62125,0.25819888974716115,0.6190476190476191
