fold,accuracy,precision,recall,f1,roc_auc,mcc,macro_f1
1,0.7625,0.7333333333333333,0.825,0.7764705882352941,0.8784375,0.529150262212918,0.7615686274509804
2,0.7625,0.7837837837837838,0.725,0.7532467532467533,0.8124999999999999,0.5264828210920952,0.7621655452980755
3,0.8125,0.8571428571428571,0.75,0.8,0.8621875,0.629940788348712,0.8117647058823529
4,0.7625,0.7333333333333333,0.825,0.7764705882352941,0.7975,0.529150262212918,0.7615686274509804
5,0.7625,0.7837837837837838,0.725,0.7532467532467533,0.845,0.5264828210920952,0.7621655452980755
