fold,accuracy,precision,recall,f1,roc_auc,mcc,macro_f1
1,0.5625,0.5757575757575758,0.475,0.5205479452054794,0.623125,0.1269591790297564,0.5591245473153834
2,0.575,0.5714285714285714,0.6,0.5853658536585366,0.6290625000000001,0.15018785229652767,0.5747342088805503
3,0.5625,0.5641025641025641,0.55,0.5569620253164557,0.6318750000000001,0.12503908082008883,0.5624316299421784
4,0.6125,0.5918367346938775,0.725,0.651685393258427,0.5909375,0.23092110260585344,0.6075328374742839
5,0.55,0.5476190476190477,0.575,0.5609756097560976,0.5834374999999999,0.10012523486435178,0.549718574108818
