fold,accuracy,precision,recall,f1,roc_auc,mcc,macro_f1
1,0.6875,0.6923076923076923,0.675,0.6835443037974683,0.7553125,0.3751172424602665,0.6874511642444132
2,0.6125,0.6216216216216216,0.575,0.5974025974025974,0.689375,0.22563549475375508,0.6119543107494915
3,0.65,0.65,0.65,0.65,0.7378125,0.3,0.65
4,0.6125,0.5818181818181818,0.8,0.6736842105263158,0.67375,0.24271195048676714,0.5983805668016194
5,0.75,0.7272727272727273,0.8,0.7619047619047619,0.8118749999999999,0.502518907629606,0.7493734335839599
