fold,accuracy,precision,recall,f1,roc_auc,mcc,macro_f1
1,0.6375,0.627906976744186,0.675,0.6506024096385542,0.711875,0.27577671581014507,0.6369895165075887
2,0.7,0.7352941176470589,0.625,0.6756756756756757,0.771875,0.4045773899393389,0.6983029541169076
3,0.7,0.6739130434782609,0.775,0.7209302325581395,0.796875,0.4045773899393389,0.6983029541169076
4,0.625,0.5862068965517241,0.85,0.6938775510204082,0.755625,0.2799462554779271,0.6050032916392363
5,0.6375,0.6341463414634146,0.65,0.6419753086419753,0.724375,0.27508597780419547,0.6374433505235193
