fold,accuracy,precision,recall,f1,mcc,macro_f1,roc_auc
1,0.475,0.4779722837372031,0.475,0.46526238509180945,0.3482072896311895,0.46526238509180945,0.810875
2,0.485,0.4819842775820006,0.485,0.48029227838309013,0.3574247303608763,0.48029227838309013,0.807625
3,0.515,0.5205924279136379,0.515,0.5141870804616169,0.3949490091950815,0.5141870804616169,0.8109375
4,0.495,0.5208391608391609,0.495,0.49634306581223464,0.37165326679660593,0.49634306581223464,0.79246875
5,0.47,0.47159008764796245,0.47000000000000003,0.46443151186720205,0.3397046180225653,0.46443151186720205,0.7928124999999999
