fold,accuracy,precision,recall,f1,mcc,macro_f1,roc_auc
1,0.28,0.27709581976462305,0.27999999999999997,0.2761225460144422,0.1004562282791021,0.2761225460144422,0.623390625
2,0.345,0.3324226619624686,0.345,0.33540313871562893,0.18222063223570914,0.33540313871562893,0.640109375
3,0.33,0.32690812693617743,0.32999999999999996,0.3258789328913495,0.16307175346283026,0.3258789328913495,0.6400312499999999
4,0.32,0.3369401544401544,0.31999999999999995,0.3256176046176046,0.15083663539408507,0.3256176046176046,0.623609375
5,0.315,0.32497357381915104,0.315,0.317195218463097,0.14423308840764093,0.317195218463097,0.639921875
