fold,accuracy,precision,recall,f1,roc_auc,mcc,macro_f1
1,0.675,0.6521739130434783,0.75,0.6976744186046512,0.829375,0.35400521619692155,0.6731615336266499
2,0.775,0.7619047619047619,0.8,0.7804878048780488,0.875,0.5506887917539348,0.7748592870544091
3,0.7375,0.7878787878787878,0.65,0.7123287671232876,0.858125,0.48244488031307425,0.73547472838923
4,0.75,0.7,0.875,0.7777777777777778,0.84875,0.5163977794943223,0.746031746031746
5,0.7375,0.7317073170731707,0.75,0.7407407407407407,0.84875,0.4751485071163376,0.7374589779653071
