fold,accuracy,precision,recall,f1,roc_auc,mcc,macro_f1
1,0.7125,0.7073170731707317,0.725,0.7160493827160493,0.765625,0.42513287478830203,0.7124550711048601
2,0.75,0.7380952380952381,0.775,0.7560975609756098,0.8456250000000001,0.5006261743217589,0.7498436522826767
3,0.7625,0.8181818181818182,0.675,0.7397260273972602,0.82375,0.5332285519249769,0.7606676113997796
4,0.7625,0.723404255319149,0.85,0.7816091954022989,0.805,0.5332285519249769,0.7606676113997796
5,0.725,0.7142857142857143,0.75,0.7317073170731707,0.78875,0.450563556889583,0.7248280175109443
