fold,accuracy,precision,recall,f1,roc_auc,mcc,macro_f1
1,0.6375,0.627906976744186,0.675,0.6506024096385542,0.66625,0.27577671581014507,0.6369895165075887
2,0.675,0.71875,0.575,0.6388888888888888,0.683125,0.3572172541558801,0.6717171717171717
3,0.6,0.625,0.5,0.5555555555555556,0.61375,0.2041241452319315,0.595959595959596
4,0.65,0.6578947368421053,0.625,0.6410256410256411,0.665625,0.30037570459305535,0.6497811131957474
5,0.5875,0.5853658536585366,0.6,0.5925925925925926,0.6643749999999999,0.17505471314812437,0.5874355368026254
