fold,accuracy,precision,recall,f1,roc_auc,mcc,macro_f1
1,0.8125,0.8048780487804879,0.825,0.8148148148148148,0.9,0.6251954041004442,0.8124706985466479
2,0.85,0.868421052631579,0.825,0.8461538461538461,0.886875,0.7008766440504625,0.849906191369606
3,0.8375,0.8857142857142857,0.775,0.8266666666666667,0.9190625,0.680336051416609,0.8368627450980393
4,0.825,0.7954545454545454,0.875,0.8333333333333334,0.91125,0.6532745799184878,0.8245614035087719
5,0.8125,0.8378378378378378,0.775,0.8051948051948052,0.915625,0.6267652632048752,0.8122359568142701
