fold,accuracy,precision,recall,f1,roc_auc,mcc,macro_f1
1,0.625,0.6470588235294118,0.55,0.5945945945945946,0.7050000000000001,0.25286086871208685,0.6228786926461345
2,0.7,0.7666666666666667,0.575,0.6571428571428571,0.78,0.4131182235954578,0.6952380952380952
3,0.6375,0.6341463414634146,0.65,0.6419753086419753,0.7262500000000001,0.27508597780419547,0.6374433505235193
4,0.625,0.5961538461538461,0.775,0.6739130434782609,0.6587500000000001,0.26207120918047955,0.6163682864450128
5,0.7125,0.673469387755102,0.825,0.7415730337078652,0.703125,0.4361843049221676,0.7088146858680171
