fold,accuracy,precision,recall,f1,mcc,macro_f1,roc_auc
1,0.53,0.5334333181306294,0.53,0.5261856514416713,0.4146042741329487,0.5261856514416713,0.81059375
2,0.54,0.5523879000840272,0.54,0.5416627703316148,0.4268313000576988,0.5416627703316148,0.8180156249999999
3,0.575,0.5820946560442359,0.575,0.5754715654474267,0.4700296349448482,0.5754715654474267,0.82715625
4,0.545,0.5469749288568884,0.545,0.5443758998011463,0.4318441945575115,0.5443758998011463,0.83365625
5,0.505,0.5015036015036015,0.505,0.5014347673183727,0.3819668605515385,0.5014347673183727,0.81484375
