fold,accuracy,precision,recall,f1,roc_auc,mcc,macro_f1
1,0.675,0.6666666666666666,0.7,0.6829268292682927,0.6696875,0.35043832202523123,0.6747967479674797
2,0.6125,0.6046511627906976,0.65,0.6265060240963856,0.6696875,0.22563549475375508,0.6119543107494915
3,0.6,0.6176470588235294,0.525,0.5675675675675675,0.604375,0.20228869496966945,0.5977372721558768
4,0.6125,0.6,0.675,0.6352941176470588,0.6821875,0.22677868380553634,0.6109803921568627
5,0.5625,0.5641025641025641,0.55,0.5569620253164557,0.5996875,0.12503908082008883,0.5624316299421784
