fold,accuracy,precision,recall,f1,roc_auc,mcc,macro_f1
1,0.575,0.6071428571428571,0.425,0.5,0.5478125,0.15724272550828775,0.5652173913043479
2,0.525,0.5263157894736842,0.5,0.5128205128205128,0.5434375,0.05006261743217589,0.5247029393370857
3,0.4875,0.4897959183673469,0.6,0.5393258426966292,0.5540625,-0.025657900289539272,0.4809305269821174
4,0.5875,0.5945945945945946,0.55,0.5714285714285714,0.6084375,0.17549427369736506,0.5869191049913942
5,0.5625,0.5609756097560976,0.575,0.5679012345679012,0.5909375,0.12503908082008883,0.5624316299421784
