fold,accuracy,precision,recall,f1,mcc,macro_f1,roc_auc
1,0.35,0.3566021164444788,0.35,0.340018698778718,0.19080201952031894,0.340018698778718,0.6762499999999999
2,0.385,0.39334093216862687,0.385,0.37287212570348,0.23602622619486002,0.37287212570348,0.7203124999999999
3,0.355,0.3589081854964208,0.355,0.3506825656612891,0.19556744377241841,0.3506825656612891,0.6695625
4,0.325,0.306054270835716,0.325,0.30242752232404324,0.15982093720434332,0.30242752232404324,0.68375
5,0.32,0.2976449275362319,0.32,0.3004374563008584,0.1523068316413417,0.3004374563008584,0.6482187500000001
