fold,accuracy,precision,recall,f1,roc_auc,mcc,macro_f1
1,0.7125,0.7297297297297297,0.675,0.7012987012987013,0.81625,0.4262003789793151,0.7120951337818808
2,0.7625,0.7441860465116279,0.8,0.7710843373493976,0.8781249999999999,0.5264828210920952,0.7621655452980755
3,0.7875,0.8285714285714286,0.725,0.7733333333333333,0.885,0.579545525280815,0.7866666666666666
4,0.7625,0.6981132075471698,0.925,0.7956989247311828,0.845625,0.5551361100027009,0.756058417589472
5,0.7125,0.7575757575757576,0.625,0.684931506849315,0.819375,0.4316612087011717,0.7102818453786806
