fold,accuracy,precision,recall,f1,roc_auc,mcc,macro_f1
1,0.5125,0.5142857142857142,0.45,0.48,0.544375,0.02519763153394848,0.5105882352941176
2,0.625,0.6470588235294118,0.55,0.5945945945945946,0.6006250000000001,0.25286086871208685,0.6228786926461345
3,0.525,0.5238095238095238,0.55,0.5365853658536586,0.573125,0.05006261743217589,0.5247029393370857
4,0.475,0.48333333333333334,0.725,0.58,0.539375,-0.05773502691896258,0.43999999999999995
5,0.575,0.5789473684210527,0.55,0.5641025641025641,0.5575,0.15018785229652767,0.5747342088805503
