fold,accuracy,precision,recall,f1,mcc,macro_f1,roc_auc
1,0.22,0.23015394514685963,0.22000000000000003,0.2080704034163896,0.025854384499750957,0.2080704034163896,0.5706562500000001
2,0.295,0.29195169082125605,0.295,0.28138389451890594,0.12192721179437531,0.28138389451890594,0.60740625
3,0.265,0.24135027789342903,0.265,0.24227936515492052,0.08367234020675977,0.24227936515492052,0.5793125
4,0.265,0.2515154246248497,0.265,0.23891009110312597,0.08413085285472821,0.23891009110312597,0.576
5,0.255,0.2500887651412389,0.255,0.2507461289874898,0.06900058211645733,0.2507461289874898,0.5798125000000001
