fold,accuracy,precision,recall,f1,roc_auc,mcc,macro_f1
1,0.6875,0.7027027027027027,0.65,0.6753246753246753,0.73,0.3760591579229251,0.6870599280237835
2,0.65,0.6764705882352942,0.575,0.6216216216216216,0.745625,0.3034330424545042,0.6480201131363922
3,0.6875,0.6666666666666666,0.75,0.7058823529411765,0.70875,0.3779644730092272,0.6862745098039216
4,0.6125,0.5882352941176471,0.75,0.6593406593406593,0.6900000000000001,0.2340229353715547,0.6050326485109094
5,0.6125,0.6285714285714286,0.55,0.5866666666666667,0.6675,0.22677868380553634,0.6109803921568627
